gauge_id,latitude,longitude,july1_observed,peak_flow,peak_date,peak_severity,rp_2,rp_5,rp_15,rp_20
hybas_4120855950,27.177083,79.84375,461.2031,1011.1499,2024-07-07,NORMAL,3580.422039665993,4050.6189445613386,4226.371767619545,4247.932829935605
hybas_4121483240,26.49375,80.364583,516.1719,1262.4441,2024-07-07,NORMAL,5021.116203474738,5855.126827050618,6276.4178779503145,6342.405670295649
hybas_4121488880,26.06875,81.01875,522.9062,1358.0753,2024-07-07,NORMAL,5050.060324274462,5895.372304583056,6332.418931994622,6402.146671975401
hybas_4121496640,25.49375,81.83125,500.4062,689.4141,2024-07-07,NORMAL,5063.441242100271,5899.418385893259,6330.29168388858,6398.90475614691
hybas_4120914230,25.322917,83.04375,891.2344,1261.4881,2024-07-11,NORMAL,18073.74255260064,22702.554451071668,26083.764274002267,26770.977994809145
hybas_4120909650,25.485417,83.51875,920.5156,1125.3106,2024-07-07,NORMAL,20077.456123132368,24655.63886306149,27934.92927316537,28595.32069527065
hybas_4120894080,25.964583,84.247917,1555.5312,2143.0557,2024-07-08,NORMAL,11068.682528352345,12712.43258601279,14160.017728997957,14495.768241930477
hybas_4120846880,27.44375,79.614583,368.2031,2668.7889,2024-07-15,NORMAL,3830.8108808216575,4279.260896357069,4460.230687629056,4484.078614022162
hybas_4120802730,28.860417,77.214583,277.4375,756.0869,2024-07-06,NORMAL,1989.3513115036867,2502.221032476687,2933.2088535576218,3029.521301922254
hybas_4121452740,28.79375,78.139583,424.3281,1267.374,2024-07-10,NORMAL,3677.6124355116176,4184.153912047395,4608.484370605854,4704.112610409952
hybas_4120831810,27.93125,78.852083,383.3125,2071.115,2024-07-11,NORMAL,3518.136752394417,4039.504035927768,4487.680173531794,4590.17582616541
hybas_4120802470,28.86875,78.772917,21.6719,872.7282,2024-07-07,WATCH,750.3652805550063,1011.0794457212928,1258.1213185511851,1317.2576276737752
hybas_4121484190,26.422917,79.48125,717.3906,1575.0232,2024-07-07,NORMAL,6045.219153708491,8887.64267298586,11663.50787693734,12333.379984256517
hybas_4120889340,26.11875,79.777083,677.4062,1399.4061,2024-07-07,NORMAL,6147.1823042728265,9013.62938376432,11792.72560424523,12460.390204857253
hybas_4121491410,25.885417,79.989583,82.0938,350.7737,2024-07-07,NORMAL,2610.026071673264,3921.098547246859,5493.94591827145,5925.988502300576
hybas_4120900980,25.76875,80.522917,671.6719,671.6719,2024-07-01,NORMAL,1972.4341498282213,3062.530081752472,4296.723799427438,4622.613074172898
hybas_4120911450,25.422917,81.885417,950.8281,1097.0987,2024-07-07,NORMAL,11488.172214798784,15657.973577535766,19335.685036319013,20174.28057066297
hybas_4120859620,27.052083,83.202083,1.8906,361.7572,2024-07-07,NORMAL,486.78390741565823,691.5444052470028,898.3460279544887,949.6002702601352
hybas_4121497870,25.39375,80.310417,14.3125,14.3125,2024-07-01,NORMAL,1860.750057562543,2874.007114091092,4021.0638917343554,4324.100720071377
hybas_4120857030,27.14375,81.460417,1648.4375,2526.9227,2024-07-11,NORMAL,10288.817700883435,11963.202895471277,13467.228434095568,13819.891758455167
hybas_4120866980,26.80625,82.14375,1579.7656,2392.0774,2024-07-07,NORMAL,10264.299680685506,11752.802438005096,13021.94368712064,13310.846434871351
hybas_4120888940,26.13125,83.89375,1591.0625,2192.7252,2024-07-10,NORMAL,11113.212054806996,12747.623489787398,14198.298218058908,14536.30203676188
hybas_4121471420,27.385417,82.34375,24.7344,588.2026,2024-07-07,NORMAL,1241.9446918951642,1563.2381094465525,1852.365055333824,1919.8500104470072
hybas_4120856800,27.152083,83.027083,0.125,1556.4736,2024-07-15,WATCH,1313.6675654067108,1681.2670122448178,2014.9924461309229,2093.1844027988845
hybas_4120868460,26.760417,83.33125,20.7969,485.8337,2024-07-04,WATCH,370.5606286483046,500.33605879908913,625.6804793026193,656.0457670126416
hybas_4120834310,27.839583,81.822917,20.3906,346.9878,2024-07-07,NORMAL,1228.6822334089356,1504.9050240706738,1774.6055265075483,1840.831240760396
